File Name,Upload Time (seconds)
file_1,8.02
file_2,7.54
file_3,5.33
file_4,6.49
file_5,6.77
file_6,4.98
file_7,6.06
file_8,6.06
file_9,5.20
file_10,8.78
file_11,7.93
file_12,4.95
file_13,5.56
file_14,11.16
file_15,7.39
file_16,5.13
file_17,9.70
file_18,5.73
file_19,9.74
file_20,7.22
file_21,7.06
file_22,7.04
file_23,5.35
file_24,5.02
file_25,7.12
file_26,6.61
file_27,5.80
file_28,19.74
file_29,9.01
file_30,4.77
file_31,8.47
file_32,7.27
file_33,7.40
file_34,4.91
file_35,8.11
file_36,8.52
file_37,13.50
file_38,6.97
file_39,9.47
file_40,6.81
file_41,5.61
file_42,5.15
file_43,12.90
file_44,6.49
file_45,7.72
file_46,6.52
file_47,6.88
file_48,6.51
file_49,8.11
file_50,7.81
file_51,7.51
file_52,5.93
file_53,5.98
file_54,10.50
file_55,11.18
file_56,7.08
file_57,8.02
file_58,6.93
file_59,5.81
file_60,4.71
file_61,8.27
file_62,6.17
file_63,6.48
file_64,6.28
file_65,6.47
file_66,6.99
file_67,7.17
file_68,6.73
file_69,11.04
file_70,5.83
file_71,4.88
file_72,5.88
file_73,4.45
file_74,5.95
file_75,7.32
file_76,6.55
file_77,7.97
file_78,6.13
file_79,4.60
file_80,7.00
file_81,6.72
file_82,5.79
file_83,16.25
file_84,8.95
file_85,5.58
file_86,7.33
file_87,6.22
file_88,6.10
file_89,5.80
file_90,5.71
file_91,6.74
file_92,5.08
file_93,6.83
file_94,26.83
file_95,5.52
file_96,5.05
file_97,4.83
file_98,5.61
file_99,5.36
file_100,6.37
